YEAR,MONTH,TAVG,TMAX,TMIN,MONTH_NAME
2016,9,65.21666666666667,74.23333333333333,56.2,September
2016,10,52.88709677419355,61.96774193548387,43.806451612903224,October
2016,11,43.4,52.2,34.6,November
2016,12,22.516129032258064,28.0,17.032258064516128,December
2017,1,21.838709677419356,27.419354838709676,16.258064516129032,January
2017,2,29.642857142857142,38.0,21.285714285714285,February
2017,3,31.967741935483872,39.38709677419355,24.548387096774192,March
2017,4,48.983333333333334,58.6,39.36666666666667,April
2017,5,55.46774193548387,65.06451612903226,45.87096774193548,May
2017,6,68.11666666666666,78.03333333333333,58.2,June
2017,7,70.91935483870968,80.6774193548387,61.16129032258065,July
2017,8,66.41935483870968,75.3225806451613,57.516129032258064,August
2017,9,63.95,74.86666666666666,53.03333333333333,September
2017,10,53.274193548387096,61.45161290322581,45.096774193548384,October
2017,11,35.11666666666667,43.03333333333333,27.2,November
2017,12,20.35483870967742,26.774193548387096,13.935483870967742,December
2018,1,19.870967741935484,27.548387096774192,12.193548387096774,January
2018,2,20.946428571428573,29.107142857142858,12.785714285714286,February
2018,3,31.14516129032258,40.32258064516129,21.967741935483872,March
2018,4,35.85,45.0,26.7,April
2018,5,63.20967741935484,73.58064516129032,52.83870967741935,May
2018,6,68.56666666666666,77.33333333333333,59.8,June
2018,7,71.85483870967742,82.45161290322581,61.25806451612903,July
2018,8,70.93548387096774,80.2258064516129,61.645161290322584,August
2018,9,63.11666666666667,72.33333333333333,53.9,September
2018,10,47.225806451612904,55.38709677419355,39.064516129032256,October
2018,11,30.183333333333334,35.46666666666667,24.9,November
2018,12,27.838709677419356,33.58064516129032,22.096774193548388,December
2019,1,15.048387096774194,22.161290322580644,7.935483870967742,January
2019,2,17.160714285714285,25.607142857142858,8.714285714285714,February
2019,3,28.080645161290324,37.74193548387097,18.419354838709676,March
2019,4,44.31666666666667,53.46666666666667,35.166666666666664,April
2019,5,53.75806451612903,62.87096774193548,44.645161290322584,May
2019,6,65.18333333333334,74.46666666666667,55.9,June
2019,7,73.66129032258064,83.3225806451613,64.0,July
2019,8,68.11290322580645,77.48387096774194,58.74193548387097,August
2019,9,64.6,72.46666666666667,56.733333333333334,September
2019,10,46.725806451612904,54.806451612903224,38.645161290322584,October
2019,11,30.483333333333334,36.0,24.966666666666665,November
2019,12,27.416666666666668,34.46666666666667,20.366666666666667,December
2020,1,25.096774193548388,31.70967741935484,18.483870967741936,January
2020,2,20.5,29.413793103448278,11.586206896551724,February
2020,3,35.67741935483871,42.29032258064516,29.06451612903226,March
2020,4,42.45,51.93333333333333,32.96666666666667,April
2020,5,55.483870967741936,65.25806451612904,45.70967741935484,May
2020,6,68.93333333333334,79.43333333333334,58.43333333333333,June
2020,7,73.93548387096774,83.2258064516129,64.64516129032258,July
2020,8,70.40322580645162,80.80645161290323,60.0,August
2020,9,60.483333333333334,69.43333333333334,51.53333333333333,September
2020,10,44.38709677419355,52.96774193548387,35.806451612903224,October
2020,11,42.03333333333333,51.06666666666667,33.0,November
2020,12,27.322580645161292,34.12903225806452,20.516129032258064,December
2021,1,22.43548387096774,28.258064516129032,16.612903225806452,January
2021,2,13.785714285714286,22.071428571428573,5.5,February
2021,3,37.96774193548387,47.54838709677419,28.387096774193548,March
2021,4,47.81666666666667,57.666666666666664,37.96666666666667,April
2021,5,57.16129032258065,67.64516129032258,46.67741935483871,May
2021,6,72.83333333333333,83.11111111111111,62.55555555555556,June
2021,7,71.24193548387096,80.74193548387096,61.74193548387097,July
2021,8,71.90322580645162,81.6774193548387,62.12903225806452,August
2021,9,63.71666666666667,74.26666666666667,53.166666666666664,September
2021,10,55.83870967741935,63.516129032258064,48.16129032258065,October
2021,11,35.93333333333333,44.766666666666666,27.1,November
2021,12,28.951612903225808,37.03225806451613,20.870967741935484,December
2022,1,13.338709677419354,22.483870967741936,4.193548387096774,January
2022,2,20.017857142857142,28.821428571428573,11.214285714285714,February
2022,3,32.225806451612904,39.806451612903224,24.64516129032258,March
2022,4,41.85,49.766666666666666,33.93333333333333,April
2022,5,59.96774193548387,69.61290322580645,50.32258064516129,May
2022,6,67.33333333333333,77.8,56.86666666666667,June
2022,7,71.48387096774194,81.2258064516129,61.74193548387097,July
2022,8,70.29032258064517,79.74193548387096,60.83870967741935,August
2022,9,61.81666666666667,71.23333333333333,52.4,September
2022,10,49.25806451612903,60.225806451612904,38.29032258064516,October
2022,11,38.15,46.6,29.7,November
2022,12,24.5,31.096774193548388,17.903225806451612,December
2023,1,26.258064516129032,30.741935483870968,21.774193548387096,January
2023,2,25.125,33.535714285714285,16.714285714285715,February
2023,3,31.161290322580644,38.61290322580645,23.70967741935484,March
2023,4,46.81666666666667,56.93333333333333,36.7,April
2023,5,58.145161290322584,70.06451612903226,46.225806451612904,May
2023,6,68.18333333333334,79.3,57.06666666666667,June
2023,7,72.58064516129032,83.6774193548387,61.483870967741936,July
2023,8,70.24193548387096,79.41935483870968,61.064516129032256,August
2023,9,65.75,75.13333333333334,56.36666666666667,September
2023,10,52.193548387096776,60.41935483870968,43.96774193548387,October
2023,11,37.55,46.86666666666667,28.233333333333334,November
2023,12,35.16129032258065,41.096774193548384,29.225806451612904,December
2024,1,24.129032258064516,28.193548387096776,20.06451612903226,January
2024,2,33.36206896551724,43.03448275862069,23.689655172413794,February
2024,3,38.96774193548387,48.61290322580645,29.322580645161292,March
2024,4,48.666666666666664,58.56666666666667,38.766666666666666,April
2024,5,60.274193548387096,70.7741935483871,49.774193548387096,May
2024,6,68.78333333333333,78.26666666666667,59.3,June
2024,7,71.61290322580645,81.09677419354838,62.12903225806452,July
2024,8,70.2741935483871,79.35483870967742,61.193548387096776,August
2024,9,66.25,78.3,54.2,September
2024,10,54.5,66.51612903225806,42.483870967741936,October
2024,11,41.35,47.8,34.9,November
2024,12,26.112903225806452,33.58064516129032,18.64516129032258,December
2025,1,17.983870967741936,27.0,8.96774193548387,January
2025,2,19.017857142857142,27.714285714285715,10.321428571428571,February
