Date/Time,Energy Produced (Wh)
10/07/2014,"7,415"
10/08/2014,"7,285"
10/09/2014,"8,006"
10/10/2014,"7,735"
10/11/2014,"7,579"
10/12/2014,"6,678"
10/13/2014,"1,589"
10/14/2014,590
10/15/2014,860
10/16/2014,"2,099"
10/17/2014,662
10/18/2014,"5,612"
10/19/2014,"3,243"
10/20/2014,"1,194"
10/21/2014,"5,036"
10/22/2014,"6,418"
10/23/2014,"1,176"
10/24/2014,"1,499"
10/25/2014,"7,060"
10/26/2014,"4,622"
10/27/2014,"3,616"
10/28/2014,"2,770"
10/29/2014,"2,497"
10/30/2014,"2,837"
10/31/2014,"3,857"
11/01/2014,"6,823"
11/02/2014,"4,996"
11/03/2014,"1,840"
11/04/2014,"1,630"
11/05/2014,"1,502"
11/06/2014,954
11/07/2014,"2,946"
11/08/2014,"2,042"
11/09/2014,544
11/10/2014,324
11/11/2014,427
11/12/2014,"2,448"
11/13/2014,"3,086"
11/14/2014,"1,366"
11/15/2014,"3,100"
11/16/2014,"1,592"
11/17/2014,"3,023"
11/18/2014,"5,406"
11/19/2014,745
11/20/2014,"5,616"
11/21/2014,"4,688"
11/22/2014,342
11/23/2014,164
11/24/2014,268
11/25/2014,593
11/26/2014,719
11/27/2014,"3,324"
11/28/2014,508
11/29/2014,"4,154"
11/30/2014,"1,003"
12/01/2014,"5,432"
12/02/2014,"1,962"
12/03/2014,"5,208"
12/04/2014,"1,328"
12/05/2014,"1,071"
12/06/2014,"4,997"
12/07/2014,"2,074"
12/08/2014,190
12/09/2014,"5,059"
12/10/2014,875
12/11/2014,"4,016"
12/12/2014,639
12/13/2014,446
12/14/2014,247
12/15/2014,328
12/16/2014,482
12/17/2014,"3,444"
12/18/2014,509
12/19/2014,"4,406"
12/20/2014,638
12/21/2014,324
12/22/2014,489
12/23/2014,294
12/24/2014,247
12/25/2014,"1,027"
12/26/2014,"2,322"
12/27/2014,225
12/28/2014,"3,808"
12/29/2014,"4,293"
12/30/2014,"4,867"
12/31/2014,"2,523"
01/01/2015,"1,327"
01/02/2015,"4,232"
01/03/2015,423
01/04/2015,"1,099"
01/05/2015,"4,082"
01/06/2015,"3,795"
01/07/2015,"5,012"
01/08/2015,841
01/09/2015,"5,252"
01/10/2015,"3,339"
01/11/2015,"2,028"
01/12/2015,"5,502"
01/13/2015,"4,730"
01/14/2015,956
01/15/2015,"4,839"
01/16/2015,900
01/17/2015,"1,189"
01/18/2015,"1,730"
01/19/2015,952
01/20/2015,764
01/21/2015,"1,245"
01/22/2015,"4,834"
01/23/2015,"1,668"
01/24/2015,"1,122"
01/25/2015,"3,802"
01/26/2015,"1,168"
01/27/2015,"1,026"
01/28/2015,"2,679"
01/29/2015,899
01/30/2015,"4,524"
01/31/2015,769
02/01/2015,"1,022"
02/02/2015,"6,398"
02/03/2015,"4,039"
02/04/2015,"5,500"
02/05/2015,"6,837"
02/06/2015,"2,972"
02/07/2015,"3,446"
02/08/2015,668
02/09/2015,"6,567"
02/10/2015,"1,671"
02/11/2015,517
02/12/2015,"5,097"
02/13/2015,"1,058"
02/14/2015,"7,862"
02/15/2015,"6,923"
02/16/2015,"2,423"
02/17/2015,"5,691"
02/18/2015,"7,516"
02/19/2015,"9,123"
02/20/2015,"2,773"
02/21/2015,"6,553"
02/22/2015,"9,061"
02/23/2015,"9,245"
02/24/2015,"5,533"
02/25/2015,"4,316"
02/26/2015,"8,770"
02/27/2015,"9,590"
02/28/2015,"8,328"
03/01/2015,"2,651"
03/02/2015,"3,341"
03/03/2015,"2,317"
03/04/2015,"4,490"
03/05/2015,"10,559"
03/06/2015,"8,479"
03/07/2015,"6,187"
03/08/2015,"9,156"
03/09/2015,"7,594"
03/10/2015,"7,790"
03/11/2015,"9,664"
03/12/2015,"6,950"
03/13/2015,"8,346"
03/14/2015,"8,430"
03/15/2015,"4,226"
03/16/2015,"2,043"
03/17/2015,"10,328"
03/18/2015,"6,634"
03/19/2015,"2,933"
03/20/2015,"6,489"
03/21/2015,"9,892"
03/22/2015,"8,581"
03/23/2015,"7,497"
03/24/2015,"9,370"
03/25/2015,"1,582"
03/26/2015,"1,217"
03/27/2015,"9,638"
03/28/2015,"9,649"
03/29/2015,"1,090"
03/30/2015,"7,089"
03/31/2015,"8,314"
04/01/2015,"7,017"
04/02/2015,"6,223"
04/03/2015,"2,685"
04/04/2015,"9,346"
04/05/2015,"2,695"
04/06/2015,"3,594"
04/07/2015,"2,083"
04/08/2015,"1,056"
04/09/2015,"1,025"
04/10/2015,"4,655"
04/11/2015,"9,279"
04/12/2015,"5,516"
04/13/2015,"7,828"
04/14/2015,"8,323"
04/15/2015,"7,708"
04/16/2015,"8,852"
04/17/2015,"8,123"
04/18/2015,"8,600"
04/19/2015,"6,425"
04/20/2015,"1,748"
04/21/2015,"4,455"
04/22/2015,"3,267"
04/23/2015,"9,359"
04/24/2015,"7,539"
04/25/2015,"8,129"
04/26/2015,"8,922"
04/27/2015,"8,712"
04/28/2015,"8,641"
04/29/2015,"6,779"
04/30/2015,"7,014"
05/01/2015,"8,402"
05/02/2015,"9,332"
05/03/2015,"7,860"
05/04/2015,"9,260"
05/05/2015,"6,411"
05/06/2015,"6,519"
05/07/2015,"8,595"
05/08/2015,"5,897"
05/09/2015,"6,886"
05/10/2015,"3,844"
05/11/2015,"3,472"
05/12/2015,"3,987"
05/13/2015,"10,367"
05/14/2015,"6,172"
05/15/2015,"3,649"
05/16/2015,"7,199"
05/17/2015,"4,626"
05/18/2015,"10,134"
05/19/2015,"8,720"
05/20/2015,"5,826"
05/21/2015,"9,158"
05/22/2015,"10,451"
05/23/2015,"9,190"
05/24/2015,"2,582"
05/25/2015,"4,724"
05/26/2015,"4,667"
05/27/2015,"6,301"
05/28/2015,"9,254"
05/29/2015,"5,716"
05/30/2015,"3,184"
05/31/2015,"10,503"
06/01/2015,"10,653"
06/02/2015,"10,194"
06/03/2015,"8,847"
06/04/2015,"3,711"
06/05/2015,"4,386"
06/06/2015,"10,113"
06/07/2015,"5,010"
06/08/2015,"7,170"
06/09/2015,"7,840"
06/10/2015,"9,709"
06/11/2015,"1,923"
06/12/2015,"7,330"
06/13/2015,"1,697"
06/14/2015,"6,260"
06/15/2015,"3,406"
06/16/2015,"8,256"
06/17/2015,"9,177"
06/18/2015,"6,590"
06/19/2015,"5,220"
06/20/2015,"1,931"
06/21/2015,"5,092"
06/22/2015,"4,352"
06/23/2015,"10,414"
06/24/2015,"9,301"
06/25/2015,"8,742"
06/26/2015,"5,657"
06/27/2015,"9,955"
06/28/2015,"7,049"
06/29/2015,"7,590"
06/30/2015,"4,530"
07/01/2015,"8,734"
07/02/2015,"9,742"
07/03/2015,"7,932"
07/04/2015,"8,143"
07/05/2015,"8,352"
07/06/2015,"3,585"
07/07/2015,"7,757"
07/08/2015,"9,525"
07/09/2015,"8,614"
07/10/2015,"8,878"
07/11/2015,"7,267"
07/12/2015,"8,587"
07/13/2015,"8,608"
07/14/2015,"6,547"
07/15/2015,"9,670"
07/16/2015,"6,449"
07/17/2015,"7,703"
07/18/2015,"7,291"
07/19/2015,"10,062"
07/20/2015,"6,504"
07/21/2015,"9,479"
07/22/2015,"8,271"
07/23/2015,"9,097"
07/24/2015,"7,335"
07/25/2015,"9,194"
07/26/2015,"7,487"
07/27/2015,"8,526"
07/28/2015,"6,978"
07/29/2015,"9,795"
07/30/2015,"9,491"
07/31/2015,"8,656"
08/01/2015,"9,797"
08/02/2015,"7,086"
08/03/2015,"8,341"
08/04/2015,"7,326"
08/05/2015,"6,166"
08/06/2015,"7,924"
08/07/2015,757
08/08/2015,"3,262"
08/09/2015,"7,569"
08/10/2015,"7,349"
08/11/2015,"8,773"
08/12/2015,"9,185"
08/13/2015,"7,288"
08/14/2015,"6,664"
08/15/2015,"8,955"
08/16/2015,"8,628"
08/17/2015,"4,654"
08/18/2015,"5,174"
08/19/2015,"4,503"
08/20/2015,"3,620"
08/21/2015,"8,674"
08/22/2015,"8,295"
08/23/2015,"2,298"
08/24/2015,"1,788"
08/25/2015,"1,318"
08/26/2015,"5,093"
08/27/2015,"7,769"
08/28/2015,"2,605"
08/29/2015,"2,967"
08/30/2015,"5,862"
08/31/2015,"5,575"
09/01/2015,"6,737"
09/02/2015,"6,726"
09/03/2015,"2,197"
09/04/2015,"3,280"
09/05/2015,"7,594"
09/06/2015,"6,562"
09/07/2015,"2,231"
09/08/2015,"2,140"
09/09/2015,"9,151"
09/10/2015,"5,996"
09/11/2015,"5,108"
09/12/2015,"6,620"
09/13/2015,"9,013"
09/14/2015,"8,927"
09/15/2015,"8,134"
09/16/2015,"8,198"
09/17/2015,"4,323"
09/18/2015,"3,498"
09/19/2015,"9,071"
09/20/2015,"7,399"
09/21/2015,"8,945"
09/22/2015,"6,717"
09/23/2015,"4,866"
09/24/2015,"5,807"
09/25/2015,"7,486"
09/26/2015,"6,881"
09/27/2015,"5,448"
09/28/2015,"6,578"
09/29/2015,"6,320"
09/30/2015,"7,661"
10/01/2015,"8,016"
10/02/2015,"8,551"
10/03/2015,"2,368"
10/04/2015,"1,292"
10/05/2015,"1,480"
10/06/2015,"4,409"
10/07/2015,"7,600"
10/08/2015,810
10/09/2015,"6,686"
10/10/2015,"7,036"
10/11/2015,"5,775"
10/12/2015,"4,747"
10/13/2015,"4,559"
10/14/2015,"7,433"
10/15/2015,"5,839"
10/16/2015,"5,733"
10/17/2015,"6,255"
10/18/2015,"7,256"
10/19/2015,"4,413"
10/20/2015,"4,856"
10/21/2015,"1,500"
10/22/2015,"4,356"
10/23/2015,813
10/24/2015,636
10/25/2015,"7,160"
10/26/2015,"1,965"
10/27/2015,"5,160"
10/28/2015,665
10/29/2015,"1,315"
10/30/2015,"1,526"
10/31/2015,263
